PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00295 uM,Activity at 0.015 uM,Activity at 0.074 uM,Activity at 0.369 uM,Activity at 1.843 uM,Activity at 9.217 uM,Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
970,50106459,4605800,C1CC2=C3C(=CC=C2)N(S(=O)(=O)N3C1)CCN4CCC(=CC4)C5=CNC6=C5C=CC(=C6)F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 1,1.0416,5.4268,3.719,-14.7478,34.5243,4.7448,-21.8339,1.0416,QC'd by SigmaAldrich
971,50104021,439744,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,Inactive,0,,,Inactive,,,,,,,,,,4,,18.3232,9.2116,41.654,14.2107,12.5218,27.2331,4.9982,18.3232,QC'd by SigmaAldrich
972,50106258,11957541,C[C@H](CC1=CC(=C(C=C1OC)I)OC)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.5486,-11.8158,3.2791,-6.311,-10.1918,24.5126,-13.2427,-5.5486,QC'd by SigmaAldrich
973,50107230,5640,CC1=C(N(C(=O)N(C1=O)C)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,11.8769,-0.9404,-5.5643,-14.3341,25.5495,15.5367,6.2942,11.8769,QC'd by SigmaAldrich
974,50106040,408,CN1C(CCC1=O)C2=CN=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,1.2783,7.6755,4.1448,3.6069,47.7393,54.4457,7.1782,1.2783,QC'd by SigmaAldrich
975,50107106,73093,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 1 0,9.3126,21.5355,6.4963,-16.0405,26.7341,43.6335,-12.4015,9.3126,QC'd by SigmaAldrich
976,50106737,5284451,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,11.0896,-8.6051,-18.4189,-1.2379,44.8628,8.4928,-0.2622,11.0896,QC'd by SigmaAldrich
977,50105761,73334,CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-4.6511,8.8154,9.1025,11.9639,14.6752,36.2687,-7.2755,-4.6511,QC'd by SigmaAldrich
978,50106736,16760703,CCCC(CCC)C(=O)[O-].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,12.6218,2.5,7.7693,23.6722,13.5399,47.4898,7.1031,12.6218,QC'd by SigmaAldrich
979,50105901,24867475,C[C@H]1CC2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,12.8474,-9.8283,-15.931,-13.0913,-0.0459,10.0824,-22.1964,12.8474,QC'd by SigmaAldrich
980,50105830,2734687,C(=NN)(N)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,13.5529,-8.3107,-16.181,-17.4877,-11.0273,34.8639,-10.4621,13.5529,QC'd by SigmaAldrich
981,50105759,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,17.1957,-0.5349,-10.6453,-10.1807,2.4278,11.5892,13.4829,17.1957,QC'd by SigmaAldrich
982,50105687,3348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-3.887,8.1066,5.9051,-6.4792,1.5094,41.4139,-27.314,-3.887,QC'd by SigmaAldrich
983,50105979,11957485,C[N+](C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O.[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,19.4356,-7.2885,-7.1886,20.434,21.7047,23.2617,-0.9277,19.4356,QC'd by SigmaAldrich
984,50107167,6604029,C1=C(C=C(C(=C1O)O)O)/C(=C(\C=C(C#N)C#N)/N)/C#N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,-31.6531,-7.339,8.511,-20.5104,-20.2151,-15.9746,-1.5271,-31.6531,QC'd by SigmaAldrich
985,50106543,11957593,CC1=CNN=C1.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-11.7575,4.2267,19.3674,21.1664,-0.8913,33.3678,-5.4208,-11.7575,QC'd by SigmaAldrich
986,50104329,104766,C1C[C@](C[C@@H]1C(=O)O)(C(=O)O)N,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 1,8.7243,-20.1812,-3.8092,-6.9518,-0.9358,37.2494,-26.8121,8.7243,QC'd by SigmaAldrich
987,50106119,10131132,COC(=O)[C@H](CC1=CC(=C(C=C1)O)O)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,8.4203,-8.1279,-6.7371,-11.3206,-5.2052,32.1214,-6.6752,8.4203,QC'd by SigmaAldrich
988,50106257,11957540,CC(C1=C(C(=CC=C1)Cl)Cl)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,10.5706,-2.8943,2.289,6.6317,6.9805,46.2765,13.3231,10.5706,QC'd by SigmaAldrich
989,50105255,7172,CNCC(C1=CC=C(C=C1)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0,8.8043,-5.3266,-1.4292,1.1764,7.3018,-2.5418,-12.3799,8.8043,QC'd by SigmaAldrich
990,50106825,4843,C1CC(=O)N(C1)CC(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-1.0764,-6.1736,3.6965,-7.3142,-13.413,27.1942,4.2562,-1.0764,QC'd by SigmaAldrich
991,50105548,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-1.6255,12.3057,3.7701,18.6839,31.8468,45.3714,-2.3272,-1.6255,QC'd by SigmaAldrich
992,50104189,3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,24.3295,0.4277,13.9783,-4.6302,19.1587,14.0646,7.688,24.3295,QC'd by SigmaAldrich
993,50106181,3014059,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,40.9002,19.585,10.9286,18.6776,42.4527,48.9014,-17.471,40.9002,QC'd by SigmaAldrich
994,50104084,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,-22.7337,-1.0384,-2.0295,8.464,11.8108,29.1119,25.0036,-22.7337,QC'd by SigmaAldrich
995,50104818,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,7.3146,-10.0231,20.3674,19.2519,6.264,15.775,4.2083,7.3146,QC'd by SigmaAldrich
996,50106398,5818,C1=C(NC=N1)CCN.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,4.4367,-11.3067,0.2925,-8.1457,8.3565,43.0408,12.4164,4.4367,QC'd by SigmaAldrich
997,50104127,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-35.3031,9.0117,1.5829,-5.0209,-1.6767,44.4475,-21.7116,-35.3031,QC'd by SigmaAldrich
998,50107107,2737391,C1CN(CCN1)C2=CC=CC3=CC=CC=C32.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-22.0633,-13.5486,-7.6989,-7.5915,9.2836,-1.7194,-20.2752,-22.0633,QC'd by SigmaAldrich
999,50106666,3074827,CC1(CCC(CC1)NC(=O)[C@H](CCC(=O)O)N)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.9348,-30.904,-19.179,-33.7311,-13.1986,-3.9326,-32.1647,-20.9348,QC'd by SigmaAldrich
1000,50107042,6112,C1CSS[C@@H]1CCCCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-7.3661,4.7672,24.5808,4.2468,38.6006,64.5949,20.7871,-7.3661,QC'd by SigmaAldrich
1001,50105898,24867473,CSC1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N.[Na+].[Na+].[Na+].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-5.0992,-8.5111,8.3484,-1.6954,-14.1801,36.5866,-12.3981,-5.0992,QC'd by SigmaAldrich
1002,50106824,363417,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,15.3443,-5.5196,21.4616,-2.1888,38.5475,43.2654,-5.8006,15.3443,QC'd by SigmaAldrich
1003,50104887,24867456,CC[C@H](C)C(=O)O[C@H]1CCC=C2C1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@@H](CC(=O)O3)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,7.1669,4.4176,8.2506,22.7112,17.4039,37.0456,19.5883,7.1669,QC'd by SigmaAldrich
1004,50106614,11957616,CC(CC1=CC=C(C=C1)O)(C(=O)OC)N.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,34.0364,5.6965,7.1517,5.244,10.948,14.9493,-6.513,34.0364,QC'd by SigmaAldrich
1005,50105976,5284441,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 1,1.935,-25.6498,-2.5001,4.2939,10.1478,34.7191,-21.9636,1.935,QC'd by SigmaAldrich
1006,50104129,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,36.3135,14.587,-7.8473,7.3565,6.7008,35.505,1.6682,36.3135,QC'd by SigmaAldrich
1007,50106544,9944443,CN(C)CCC1=CNC2=C1C=C(C=C2)OC.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,1.2849,-2.9416,1.4669,10.2477,9.505,28.4993,-20.297,1.2849,QC'd by SigmaAldrich
1008,50106947,9539,C(CCNCCCN)CN.Cl.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-18.4668,-1.8901,6.9575,2.6164,10.0463,45.5538,-5.8323,-18.4668,QC'd by SigmaAldrich
1009,50106399,3657,C(=O)(N)NO,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,-12.9032,8.5156,-2.7061,6.1902,27.3972,34.3724,-2.0122,-12.9032,QC'd by SigmaAldrich
1010,50106038,23675321,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)[O-].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,-1.9225,-0.2253,8.8592,-5.8226,12.5741,53.2403,-5.9035,-1.9225,QC'd by SigmaAldrich
1011,50106669,11957635,C1CN=C(N1)CC2=CC3=CC=CC=C3C=C2.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-0.1586,-13.5359,-6.0116,1.746,5.2443,8.4968,-10.8565,-0.1586,QC'd by SigmaAldrich
1012,50105968,11957484,C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-36.0989,-7.2955,2.3699,-3.4371,23.6835,15.4044,-19.6816,-36.0989,QC'd by SigmaAldrich
1013,50104641,1359,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,13.416,7.1334,-12.8784,-11.3368,6.2846,3.4931,-19.4786,13.416,QC'd by SigmaAldrich
1014,50105969,6603770,C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,3.0034,3.315,-17.3699,8.9212,-3.2044,43.6543,-44.5764,3.0034,QC'd by SigmaAldrich
1015,50105899,5372720,C1=CC=C2C(=C1)N=C3C(=N2)NC(=O)NC3=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,16.3368,10.1981,8.649,3.6628,19.6809,21.5086,25.549,16.3368,QC'd by SigmaAldrich
1016,50105828,64392,C1CCC(CC1)N=C(NC23CC4CC(C2)CC(C4)C3)N5CCOCC5.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-27.3565,-3.4298,0.9145,-6.5277,5.2223,5.8599,-29.1034,-27.3565,QC'd by SigmaAldrich
1017,50107104,5329275,C1=CC=C2C(=C1)C(=CN2)/C=C(\C#N)/C(=O)C3=CC(=C(C=C3)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,-14.0272,6.2523,11.4019,-18.5067,9.3838,17.7107,-28.4183,-14.0272,QC'd by SigmaAldrich
1018,50106401,2724402,C1=CC(=CC(=C1)O)CNN.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,32.9393,17.1513,-10.5142,-1.132,-2.9911,6.6084,-16,32.9393,QC'd by SigmaAldrich
1019,50104816,5311203,CCOC(=O)C1=C2[C@@H]3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)OC,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-19.6953,-3.6458,0.8401,-3.0281,14.2184,31.8689,1.9557,-19.6953,QC'd by SigmaAldrich
1020,50106259,11957542,CC(C)C[C@@H](C(=O)NCCCCN=C(N)N)NC(=O)C1C(O1)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,42.6142,6.7577,17.2358,1.7621,33.6492,47.9608,1.7254,42.6142,QC'd by SigmaAldrich
1021,50106117,11957512,C1CC1C2=CC=CC=C2OCC3=NCCN3.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.5606,-25.2914,-7.7897,-6.1743,-13.4326,0.5257,-14.3658,-4.5606,QC'd by SigmaAldrich
1022,50106321,6603849,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)OS(=O)N)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-4.727,-11.8146,0.8722,-13.369,-5.4967,27.1664,-30.8555,-4.727,QC'd by SigmaAldrich
1023,50107227,9928898,CCCCC/C=C\CC(/C=C/C1=CC=CC(=N1)CC(CCCCO)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,6.0175,-7.9594,7.1187,0.2399,-0.1046,44.7613,-21.9051,6.0175,QC'd by SigmaAldrich
1024,50106948,121880,CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)N)Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-9.7987,15.0169,21.0899,14.8001,24.6071,20.928,0.0673,-9.7987,QC'd by SigmaAldrich
1025,50106545,4038,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,6.7684,-24.0005,8.8896,1.1121,21.0156,30.1583,0.762,6.7684,QC'd by SigmaAldrich
1026,50103941,31307,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0,-9.7696,5.5426,0.5845,-4.7625,21.545,20.4309,1.3656,-9.7696,QC'd by SigmaAldrich
1027,50106179,54741845,C[C@@H]1C2[C@@H]([C@H]3C(C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-4.3889,-15.0327,12.6044,19.009,3.5468,38.4719,-31.0813,-4.3889,QC'd by SigmaAldrich
1028,50106039,5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-22.1404,-3.1446,4.0201,1.9848,11.6148,18.5024,-6.7987,-22.1404,QC'd by SigmaAldrich
1029,50106668,23681235,C1CC(C(C2=CC=CC=C2C1)O)CC(=O)[O-].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,4.7896,-16.1655,-15.029,-25.2245,2.4749,25.5376,-29.8189,4.7896,QC'd by SigmaAldrich
1030,50105619,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-37.4563,-2.0624,0.2936,-13.474,-5.9108,12.0527,-24.0569,-37.4563,QC'd by SigmaAldrich
1031,50105817,1365,CN1C2=C(N=C1C3=CC=C(C=C3)S(=O)(=O)O)N(C(=O)N(C2=O)CC=C)C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 1 0,14.5666,-22.7937,5.2494,10.565,19.7554,17.2099,-30.2551,14.5666,QC'd by SigmaAldrich
1032,50106555,6603922,CC1=NN=C2N1N=CC(=C2)C3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-7.9271,9.2215,13.014,17.2142,22.3768,17.549,8.9387,-7.9271,QC'd by SigmaAldrich
1033,50104148,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-13.0836,9.2263,1.7445,6.384,18.8626,26.539,-4.8196,-13.0836,QC'd by SigmaAldrich
1034,50106245,5312331,CCCCCCCCCCC/C=C\C(C)(C)/C=C\CCCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 1,-23.4613,-15.9874,-17.2165,-5.2047,-11.3304,-3.8238,-8.485,-23.4613,QC'd by SigmaAldrich
1035,50104341,1549098,C([C@@H](C(=O)O)N)S(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0,25.4009,-0.3868,6.7617,14.4293,4.1145,17.1131,-14.2102,25.4009,QC'd by SigmaAldrich
1036,50106695,9907039,CCCCN1CCC(CC1)N2C3=CC=CC=C3NC2=O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.3177,-15.5011,2.0079,-9.2977,9.5353,29.2394,-18.6429,1.3177,QC'd by SigmaAldrich
1037,50106315,5282407,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-47.6885,-17.7056,22.3666,-3.5649,11.8051,24.0661,5.4621,-47.6885,QC'd by SigmaAldrich
1038,50107049,11957702,CC1C2=C(C(=O)N(C1=O)C)N=CN2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-12.5412,6.2411,15.2764,14.9276,16.3758,50.2096,-8.7427,-12.5412,QC'd by SigmaAldrich
1039,50106370,11957554,CCCN(CCC)[C@@H]1CCC2=C(C1)C=C(C=C2)O.Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,-9.4002,13.1841,2.3538,11.8727,-5.7739,43.6788,19.6214,-9.4002,QC'd by SigmaAldrich
1040,50106757,66259,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 1,-18.3492,-19.6688,11.6442,3.3329,2.3643,25.8814,-5.5165,-18.3492,QC'd by SigmaAldrich
1041,50104627,688272,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 1 0,30.7851,22.6053,9.1649,19.2112,24.9632,36.3486,9.5712,30.7851,QC'd by SigmaAldrich
1042,50104218,222786,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0,31.1427,-13.4963,-5.1109,-1.7782,4.2907,56.1643,-12.521,31.1427,QC'd by SigmaAldrich
1043,50107188,3353976,C(CC(C(=O)O)N)CNC(=S)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,3.2741,3.79,11.3304,-1.0804,8.2957,12.7047,-16.5805,3.2741,QC'd by SigmaAldrich
1044,50106193,1845,C1=C2C(=CC(=C1Cl)Cl)NC(=O)C(=O)N2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,70.3861,-11.5508,-5.5503,-10.4385,23.632,27.396,-6.7429,70.3861,QC'd by SigmaAldrich
1045,26753648,56801,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O.C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-44.4885,5.4005,-5.461,-0.45,16.2147,29.2279,-3.1745,-44.4885,QC'd by SigmaAldrich
1046,50106554,441333,CC(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-13.7259,-4.8396,-1.2148,0.6241,4.2114,9.6355,-16.7531,-13.7259,QC'd by SigmaAldrich
1047,26753508,16759246,C[C@]12CCC3C([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0,-24.5861,-12.9714,-8.0887,6.4859,8.6243,-13.9786,-28.2504,-24.5861,QC'd by SigmaAldrich
1048,50105879,24867471,C[C@]12CCC3C([C@@H]1CCC2=O)CCC4[C@@]3(CC[C@H](C4)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-14.5794,20.5439,8.9561,21.0333,4.5683,14.5943,-1.0887,-14.5794,QC'd by SigmaAldrich
1049,50106945,11957681,CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0,-21.4555,1.2673,1.589,1.8345,2.7332,5.8505,-13.5221,-21.4555,QC'd by SigmaAldrich
1050,50106696,11957647,CC1=CC=C(C=C1)C(=O)O[C@H]([C@@H](C(=O)O)OC(=O)C2=CC=C(C=C2)C)C(=O)O.CN1CCC[C@@H]1C2=CN=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1,12.337,-13.1066,-10.9053,-11.2962,6.9525,-0.8967,-28.1568,12.337,QC'd by SigmaAldrich
1051,50106069,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 1,4.1716,-4.5178,-0.2108,5.172,12.7089,5.4187,-26.4049,4.1716,QC'd by SigmaAldrich
1052,50107006,160355,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0,22.552,-6.5348,23.2569,-2.9305,9.6302,11.9824,8.3322,22.552,QC'd by SigmaAldrich
